gene_id	gene_name	omims	omim_id
ENSG00000276501	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000281935	DNAH10	DNAH10 (SPERMATOGENIC FAILURE 56; SPGF56)	619515
ENSG00000273775	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000275659	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000276329	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000273518	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000261992	GATAD2B	GATAD2B (GAND SYNDROME; GAND;;MENTAL RETARDATION, AUTOSOMAL DOMINANT 18; MRD18)	615074
ENSG00000274920	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000275486	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000278079	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000275288	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000278856	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000274891	TRAPPC12	TRAPPC12 (ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND SPASTICITY; PEBAS)	617669
ENSG00000263243	KRT12	KRT12 (CORNEAL DYSTROPHY, MEESMANN, 1; MECD1;;CORNEAL DYSTROPHY, MEESMANN EPITHELIAL; MECD;;MEESMANN CORNEAL DYSTROPHY;;CORNEAL DYSTROPHY, JUVENILE EPITHELIAL, OF MEESMANN)	122100
ENSG00000278368	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000276333	HS3ST6	HS3ST6 (ANGIOEDEMA, HEREDITARY, 8; HAE8)	619367
ENSG00000282650	MEIOB	MEIOB (SPERMATOGENIC FAILURE 22; SPGF22)	617706
ENSG00000281151	KCNQ2	KCNQ2 (SEIZURES, BENIGN FAMILIAL NEONATAL, 1; BFNS1 EPILEPSY, BENIGN NEONATAL, 1, AND/OR MYOKYMIA, INCLUDED;;SEIZURES, BENIGN FAMILIAL NEONATAL, 1, AND/OR MYOKYMIA, INCLUDED)	121200
ENSG00000281151	KCNQ2	KCNQ2 (DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7;;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 7; EIEE7)	613720
ENSG00000277603	TPO	TPO (THYROID DYSHORMONOGENESIS 2A; TDH2A;;THYROID HORMONOGENESIS, GENETIC DEFECT IN, 2A;;HYPOTHYROIDISM, CONGENITAL, DUE TO DYSHORMONOGENESIS, 2A;;IODIDE PEROXIDASE DEFICIENCY;;THYROID PEROXIDASE DEFICIENCY)	274500
ENSG00000280635	PROP1	PROP1 (PITUITARY HORMONE DEFICIENCY, COMBINED, 2; CPHD2;;PANHYPOPITUITARISM;;ATELIOTIC DWARFISM WITH HYPOGONADISM;;PITUITARY DWARFISM III;;HANHART DWARFISM)	262600
ENSG00000278229	RPS17	RPS17 (DIAMOND-BLACKFAN ANEMIA 4; DBA4)	612527
ENSG00000282302	SEPTIN9	SEPTIN9 (AMYOTROPHY, HEREDITARY NEURALGIC; HNA;;NEURITIS WITH BRACHIAL PREDILECTION; NAPB;;BRACHIAL PLEXUS NEUROPATHY, HEREDITARY;;AMYOTROPHY, HEREDITARY NEURALGIC, WITH PREDILECTION FOR BRACHIAL PLEXUS)	162100
ENSG00000276582	ABCB11	ABCB11 (CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 2; PFIC2)	601847
ENSG00000276582	ABCB11	ABCB11 (CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2; BRIC2)	605479
ENSG00000278728	CNTNAP2	CNTNAP2 (PITT-HOPKINS-LIKE SYNDROME 1; PTHSL1;;CORTICAL DYSPLASIA-FOCAL EPILEPSY SYNDROME; CDFES;;CDFE SYNDROME)	610042
ENSG00000278728	CNTNAP2	CNTNAP2 (AUTISM, SUSCEPTIBILITY TO, 15; AUTS15)	612100
ENSG00000281919	SLC45A2	SLC45A2 (SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 5; SHEP5;;SKIN/HAIR/EYE PIGMENTATION 5, BLACK/NONBLACK HAIR;;SKIN/HAIR/EYE PIGMENTATION 5, DARK/LIGHT EYES;;SKIN/HAIR/EYE PIGMENTATION 5, DARK/FAIR SKIN)	227240
ENSG00000281919	SLC45A2	SLC45A2 (ALBINISM, OCULOCUTANEOUS, TYPE IV; OCA4;;OCULOCUTANEOUS ALBINISM, TYPE IV)	606574
ENSG00000282752	CTDP1	CTDP1 (CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN;;CATARACT, CONGENITAL, WITH FACIAL DYSMORPHISM AND NEUROPATHY)	604168
ENSG00000278759	TBCD	TBCD (ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND THIN CORPUS CALLOSUM; PEBAT)	617193
ENSG00000262795	IFNGR2	IFNGR2 (IMMUNODEFICIENCY 28; IMD28;;IMMUNODEFICIENCY 28, MYCOBACTERIOSIS, AUTOSOMAL RECESSIVE;;IFNGR2 DEFICIENCY)	614889
ENSG00000277175	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000281775	FTCD	FTCD (GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY;;FORMIMINOTRANSFERASE DEFICIENCY;;FORMIMINOGLUTAMIC ACIDURIA;;FIGLU-URIA)	229100
ENSG00000282214	CAPN15	CAPN15 (OCULOGASTROINTESTINAL NEURODEVELOPMENTAL SYNDROME; OGIN)	619318
ENSG00000273831	LRRC56	LRRC56 (CILIARY DYSKINESIA, PRIMARY, 39; CILD39;;CILIARY DYSKINESIA, PRIMARY, 39, WITH OR WITHOUT SITUS INVERSUS)	618254
ENSG00000281289	LSS	LSS (CATARACT 44; CTRCT44;;CATARACT 44 AND HYPOTRICHOSIS)	616509
ENSG00000281289	LSS	LSS (HYPOTRICHOSIS 14; HYPT14)	618275
ENSG00000281289	LSS	LSS (ALOPECIA-INTELLECTUAL DISABILITY SYNDROME 4; APMR4;;ALOPECIA-MENTAL RETARDATION SYNDROME 4)	618840
ENSG00000277365	NDUFA6	NDUFA6 (MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 33; MC1DN33)	618253
ENSG00000277278	HERC2	HERC2 (PRADER-WILLI SYNDROME; PWS;;PRADER-LABHART-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED; PWCR, INCLUDED;;PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED)	176270
ENSG00000277278	HERC2	HERC2 (SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 1; SHEP1;;SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES;;SKIN/HAIR/EYE PIGMENTATION 1, BLUE/BROWN EYES;;SKIN/HAIR/EYE PIGMENTATION 1, BLOND/BROWN HAIR;;EYE COLOR, BROWN/BLUE;;EYE COLOR, BLUE/NONBLUE;;EYE C /.../; EYCL3;;BROWN EYE COLOR 2; BEY2;;HAIR COLOR 3; HCL3)	227220
ENSG00000277278	HERC2	HERC2 (INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 38; MRT38;;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 38)	615516
ENSG00000273397	NDUFA6	NDUFA6 (MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 33; MC1DN33)	618253
ENSG00000275211	CYP2D6	CYP2D6 (DRUG METABOLISM, POOR, CYP2D6-RELATED DRUG METABOLISM, ULTRARAPID, CYP2D6-RELATED, INCLUDED;;DEBRISOQUINE, POOR METABOLISM OF, INCLUDED;;DEBRISOQUINE, ULTRARAPID METABOLISM OF, INCLUDED;;SPARTEINE, POOR METABOLISM OF, INCLUDED;;NORTRIPTYLINE, POOR M /.../ISM OF, INCLUDED;;CODEINE, ULTRARAPID METABOLISM OF, INCLUDED)	608902
ENSG00000278427	KIR3DL1	KIR3DL1 (HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO;;HIV-1, SUSCEPTIBILITY TO HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RESISTANCE TO, INCLUDED;;HIV-1, RESISTANCE TO, INCLUDED;;ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO, INCLUDED;;AIDS, PROGRE /.../TO, INCLUDED)	609423
ENSG00000272532	CYP2D6	CYP2D6 (DRUG METABOLISM, POOR, CYP2D6-RELATED DRUG METABOLISM, ULTRARAPID, CYP2D6-RELATED, INCLUDED;;DEBRISOQUINE, POOR METABOLISM OF, INCLUDED;;DEBRISOQUINE, ULTRARAPID METABOLISM OF, INCLUDED;;SPARTEINE, POOR METABOLISM OF, INCLUDED;;NORTRIPTYLINE, POOR M /.../ISM OF, INCLUDED;;CODEINE, ULTRARAPID METABOLISM OF, INCLUDED)	608902
ENSG00000275555	DLL1	DLL1 (NEURODEVELOPMENTAL DISORDER WITH NONSPECIFIC BRAIN ABNORMALITIES AND WITH OR WITHOUT SEIZURES; NEDBAS)	618709
ENSG00000276461	TCF20	TCF20 (DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA)	618430
ENSG00000273772	SMN2	SMN2 (SPINAL MUSCULAR ATROPHY, TYPE I; SMA1;;SMA I;;SMA, INFANTILE ACUTE FORM;;MUSCULAR ATROPHY, INFANTILE;;WERDNIG-HOFFMANN DISEASE)	253300
ENSG00000273772	SMN2	SMN2 (SPINAL MUSCULAR ATROPHY, TYPE III; SMA3;;SMA III;;MUSCULAR ATROPHY, JUVENILE;;KUGELBERG-WELANDER SYNDROME; KWS;;SPINAL MUSCULAR ATROPHY, MILD CHILDHOOD AND ADOLESCENT FORM)	253400
ENSG00000273772	SMN2	SMN2 (SPINAL MUSCULAR ATROPHY, TYPE II; SMA2;;SMA II;;MUSCULAR ATROPHY, SPINAL, INTERMEDIATE TYPE;;MUSCULAR ATROPHY, SPINAL, INFANTILE CHRONIC FORM)	253550
ENSG00000273772	SMN2	SMN2 (SPINAL MUSCULAR ATROPHY, TYPE IV; SMA4;;SPINAL MUSCULAR ATROPHY, ADULT FORM;;SPINAL MUSCULAR ATROPHY, PROXIMAL, ADULT, AUTOSOMAL RECESSIVE)	271150
ENSG00000277025	MBOAT7	MBOAT7 (INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 57; MRT57)	617188
ENSG00000276082	CNOT3	CNOT3 (INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF)	618672
ENSG00000226271	OR2J3	OR2J3 (C3HEX, ABILITY TO SMELL)	615082
ENSG00000274672	TSEN34	TSEN34 (PONTOCEREBELLAR HYPOPLASIA, TYPE 2C; PCH2C)	612390
ENSG00000262785	PKLR	PKLR (ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES;;PYRUVATE KINASE HYPERACTIVITY)	102900
ENSG00000262785	PKLR	PKLR (PYRUVATE KINASE DEFICIENCY OF RED CELLS;;PYRUVATE KINASE DEFICIENCY OF ERYTHROCYTE;;PK DEFICIENCY)	266200
ENSG00000276065	GP6	GP6 (BLEEDING DISORDER, PLATELET-TYPE, 11; BDPLT11;;GLYCOPROTEIN VI DEFICIENCY;;GP VI DEFICIENCY)	614201
ENSG00000273943	CNOT3	CNOT3 (INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF)	618672
ENSG00000277071	NLRP7	NLRP7 (HYDATIDIFORM MOLE, RECURRENT, 1; HYDM1;;HYDATIDIFORM MOLE; HYDM;;HYDATIDIFORM MOLE, COMPLETE; CHM;;GESTATIONAL TROPHOBLASTIC DISEASE)	231090
ENSG00000274382	PROP1	PROP1 (PITUITARY HORMONE DEFICIENCY, COMBINED, 2; CPHD2;;PANHYPOPITUITARISM;;ATELIOTIC DWARFISM WITH HYPOGONADISM;;PITUITARY DWARFISM III;;HANHART DWARFISM)	262600
ENSG00000228978	TNF	TNF (MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1;;MGR1;;MGAU; MA;;MIGRAINE)	157300
ENSG00000228978	TNF	TNF (ASTHMA, SUSCEPTIBILITY TO;;ASTHMA, BRONCHIAL;;ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO ASTHMA, PROTECTION AGAINST, INCLUDED;;ASTHMA, DIMINISHED RESPONSE TO ANTILEUKOTRIENE TREATMENT IN, INCLUDED)	600807
ENSG00000228978	TNF	TNF (MALARIA, SUSCEPTIBILITY TO MALARIA, RESISTANCE TO, INCLUDED;;MALARIA, SEVERE, SUSCEPTIBILITY TO, INCLUDED;;MALARIA, SEVERE, RESISTANCE TO, INCLUDED;;MALARIA, CEREBRAL, SUSCEPTIBILITY TO, INCLUDED;;MALARIA, CEREBRAL, RESISTANCE TO, INCLUDED)	611162
ENSG00000234096	MOG	MOG (NARCOLEPSY 7; NRCLP7)	614250
ENSG00000262446	GBA	GBA (DEMENTIA, LEWY BODY; DLB;;LEWY BODY DEMENTIA;;DIFFUSE LEWY BODY DISEASE DIFFUSE LEWY BODY DISEASE WITH GAZE PALSY, INCLUDED;;LEWY BODY VARIANT OF ALZHEIMER DISEASE, INCLUDED)	127750
ENSG00000262446	GBA	GBA (PARKINSON DISEASE, LATE-ONSET; PD;;PARK)	168600
ENSG00000262446	GBA	GBA (GAUCHER DISEASE, TYPE I; GD1;;GD I;;GAUCHER DISEASE, NONCEREBRAL JUVENILE;;GLUCOCEREBROSIDASE DEFICIENCY;;ACID BETA-GLUCOSIDASE DEFICIENCY;;GBA DEFICIENCY)	230800
ENSG00000262446	GBA	GBA (GAUCHER DISEASE, TYPE II; GD2;;GD II;;GAUCHER DISEASE, ACUTE NEURONOPATHIC TYPE)	230900
ENSG00000262446	GBA	GBA (GAUCHER DISEASE, TYPE III; GD3;;GD III;;GAUCHER DISEASE, SUBACUTE NEURONOPATHIC TYPE;;GAUCHER DISEASE, CHRONIC NEURONOPATHIC TYPE;;GAUCHER DISEASE, JUVENILE AND ADULT, CEREBRAL GAUCHER DISEASE, TYPE IIIA, INCLUDED;;GAUCHER DISEASE, TYPE IIIB, INCLUD /.../UCHER DISEASE, NORRBOTTNIAN TYPE, INCLUDED)	231000
ENSG00000262446	GBA	GBA (GAUCHER DISEASE, TYPE IIIC; GD3C)	231005
ENSG00000262446	GBA	GBA (GAUCHER DISEASE, PERINATAL LETHAL;;GAUCHER DISEASE, COLLODION TYPE)	608013
ENSG00000274050	GP6	GP6 (BLEEDING DISORDER, PLATELET-TYPE, 11; BDPLT11;;GLYCOPROTEIN VI DEFICIENCY;;GP VI DEFICIENCY)	614201
ENSG00000276825	DRD4	DRD4 (ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD;;HYPERACTIVITY OF CHILDHOOD)	143465
ENSG00000277923	MBOAT7	MBOAT7 (INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 57; MRT57)	617188
ENSG00000282712	DEAF1	DEAF1 (VULTO-VAN SILFHOUT-DE VRIES SYNDROME; VSVS;;INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED EXPRESSIVE SPEECH AND BEHAVIORAL ABNORMALITIES, WITH OR WITHOUT SEIZURES; IDDISBAS;;MENTAL RETARDATION, AUTOSOMAL DOMINANT 24; MRD24)	615828
ENSG00000282712	DEAF1	DEAF1 (NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND IMPAIRED EXPRESSIVE LANGUAGE AND WITH OR WITHOUT SEIZURES; NEDHELS;;DYSKINESIA, SEIZURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; DYSEIDD)	617171
ENSG00000276561	IRF7	IRF7 (IMMUNODEFICIENCY 39; IMD39)	616345
ENSG00000276804	NLRP7	NLRP7 (HYDATIDIFORM MOLE, RECURRENT, 1; HYDM1;;HYDATIDIFORM MOLE; HYDM;;HYDATIDIFORM MOLE, COMPLETE; CHM;;GESTATIONAL TROPHOBLASTIC DISEASE)	231090
ENSG00000278501	TIMM22	TIMM22 (COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 43; COXPD43)	618851
ENSG00000281300	NXN	NXN (ROBINOW SYNDROME, AUTOSOMAL RECESSIVE 2; RRS2)	618529
ENSG00000272765	NDUFA6	NDUFA6 (MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 33; MC1DN33)	618253
ENSG00000262024	TCF20	TCF20 (DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA)	618430
ENSG00000274894	PRPF31	PRPF31 (RETINITIS PIGMENTOSA 11; RP11)	600138
